A,B
100,0.13
200,0.33
300,0.42
400,0.43
500,0.54
600,0.545
700,0.62
800,0.63
900,0.62
1000,0.65
1100,0.725
1200,0.715
1300,0.715
1400,0.77
1500,0.705
1600,0.81
1700,0.805
1800,0.76
1900,0.745
2000,0.775
2100,0.76
2200,0.845
2300,0.855
2400,0.87
2500,0.83
2600,0.855
2700,0.835
2800,0.885
2900,0.86
3000,0.82
3100,0.875
3200,0.815
3300,0.86
3400,0.885
3500,0.85
3600,0.875
3700,0.875
3800,0.91
3900,0.89
4000,0.88
4100,0.905
4200,0.905
4300,0.93
4400,0.875
4500,0.895
4600,0.89
4700,0.9
4800,0.885
4900,0.925
5000,0.93
5100,0.925
5200,0.895
5300,0.9
5400,0.88
5500,0.93
5600,0.905
